title,name_shop,image,image_header,image_icon,description,date,time,limited,capacity,cost,tag,address,contact,url_shop,url,updatedAt,createdAt,revisedAt
おむすびランチ,立ち呑みゴールデン,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/bbd90d0f202c445396790aa9b96377d0/top_onigirilunch.jpg,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/56424ff6b65b40c0bcd63f83a3e6ec1f/hed_golden2.jpg,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/d3a76e94128a4240ac2101bc6ed3c2e4/icon_golden.jpg,"<p><span style=""color:#000000"">大きめのおむすび1つと味噌汁・漬物・一品のセットで550円〜。自家焙煎コーヒーもランチセットで無料です。</span><br><br><span style=""color:#000000"">おむすびランチのみですが、色んな具材を楽しんでほしいです。(おにぎり)5月は14種をラインナップ、その時のオススメも有り。</span><br><span style=""color:#000000"">おむすびのテイクアウト可能です</span><br><br><span style=""color:#000000"">地元鯖江産のコシヒカリ、沖縄県産の粟国の塩を使用しています。</span></p>",毎日（日曜日休み）,ランチ12時から14時・夜営業16時〜22時30分,,,,"shopping",鯖江市本町2丁目1-8,080-9781-5610,,https://sabapura.com/event/golden,2021-05-14T02:19:37.770Z,2021-05-13T07:23:24.689Z,2021-05-14T02:19:37.770Z
JWティーお茶会,Gallery LOOK,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/207421867e0f4ccdb643dbfdda14727b/LOOK%E3%81%95%E3%82%935%E6%9C%88.jpg,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/56628d2c27af4cab91329e7029f690fb/hed_look1.jpg,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/86b17d509c4b46dea9478f7aa1d2d528/icon_look.jpg,"<p><span style=""color:#000000"">今月はシェアスペースにてJWティーお茶会を開催します。</span><br><br><span style=""color:#000000"">JWティー...世界７０カ国以上で40年以上愛され、数千万人が愛飲しているハーブティーです。</span><br><span style=""color:#000000"">紀元前より世界３大陸で使われてきたハーブをブレンドした奇跡のハーブティーをご紹介します。</span><br><span style=""color:#000000"">また紅茶を使ったお料理レシピも伝授します。</span><br><br><span style=""color:#000000"">家でも仕事場でもないもう一つの場所</span><br><span style=""color:#000000"">待ち合わせ場所や、おしゃべり、情報交換の場としてLOOKをご利用ください。</span></p>",5月17日（月）、27日（木）,午前の部　10:30〜12:00、午後の部　13:30〜15:00,"定員",各5人,500円（お茶・お菓子付き）,"workshop",鯖江市本町1丁目2-15（不定期OPEN）,090-8966-9855,,https://sabapura.com/event/gallery-look,2021-05-13T08:08:32.249Z,2021-04-01T03:12:32.628Z,2021-05-12T08:52:23.537Z
メガネの材料を使ったワークショップ,鯖江駅眼鏡,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/088686f312374fec99ce4d8c5f6b0ee2/top_sumahostand.jpg,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/6bc9f03a5b344747a4fa7d5f47bf9c23/hed_sabaeekimegane1.jpg,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/ecb43cf9cb3344a0b3a0f311c5291444/icon_sabaeekimegane.jpg,"<p><span style=""color:#000000"">メガネの材料の１つ「アセテート」生地を使った、ワークショップを随時開催。</span><br><span style=""color:#000000"">お好みのカラーを組み合わせて作る、自分だけのオリジナルスマホスタンド作りが人気です。</span><br><br><span style=""color:#000000"">鯖江駅眼鏡限定メガネも販売中です！</span></p>",毎日,10:00～18:30,,,600円,"workshop",鯖江市日の出町1-2,0778-62-7507,,https://sabapura.com/event/sabaeekimegane,2021-05-13T08:08:27.938Z,2021-05-13T07:26:01.962Z,2021-05-13T07:26:01.962Z
本の人巡り会＋めがねアクセサリー販売,Hana道場,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/a7cd9552377a41da979d0b173793662e/top_meganeringu.jpg,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/e8bb0e932ed445fe9d0313ab33a0e0f5/hed_hana1.jpg,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/4ec34364261b45b7ba67974bc670071b/icon_hana.jpg,"<p><span style=""color:#000000"">みんなの本と出会いませんか？</span><br><span style=""color:#000000"">Hana道場スタッフと富士書店さんが本を持ち寄りました。</span><br><span style=""color:#000000"">それに加えて、第1回交換会で新しくご縁のあった本たち。</span><br><span style=""color:#000000"">その中からお好きな一冊と、あなたの本一冊を交換いたします。</span><br><span style=""color:#000000"">当日は合わせてめがねアクセサリーと杉原商店さんの和紙雑貨も販売。</span><br>人気のボストンクラブさんのめがねアクセサリーは、リングやピアス、イヤリング、ネックレス、ピンバッチ等取り揃えております。<br><br><span style=""color:#000000"">ぜひお越しください。</span></p>",5月13日、20日,11時～16時30分,,,店頭にて（本の交換は無料）,"workshop",鯖江市旭町1−6−6,080-3048-0087,https://hanadojo.com,https://sabapura.com/event/hanadojo-3,2021-05-12T14:26:09.111Z,2021-03-26T06:40:54.206Z,2021-05-12T14:26:09.111Z
舟津神社,舟津神社,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/500c00dd67c64af4ae2c5968c07b372d/top_funatsujinjya.jpg,,,,,,,,,"history",,,https://www.city.sabae.fukui.jp/kanko/sightseeing/funazu.html,https://sabapura.com/event/funazujinjya,2021-05-01T12:27:00.673Z,2021-03-30T07:03:45.625Z,2021-03-31T04:01:39.804Z
着物から割烹着作り,きものサロンまるよ,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/4c65b6f9854744668a4c7c224025ecc4/%E3%81%BE%E3%82%8B%E3%82%885%E6%9C%881.jpg,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/12c64f8bd6f144399c6f20cb03c933c4/hed_maruyo1.jpg,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/604757b6b32541ed8012e8ff0ae32bf7/icon_maruyo.jpg,"<p>5&#x2F;14 14:00 満席になりました。またの機会にお願いします。<br><br><span style=""color:#000000"">着なくなった着物を割烹着にリメイクしませんか？</span><br><br><span style=""color:#000000"">衿など、部分的に作り替えることで割烹着にします。</span><br><span style=""color:#000000"">ジャケット風に、はおりものとして着ることもできます。</span><br><br><span style=""color:#000000"">ウール（毛素材）、ポリエステル、綿の着物が向いています。</span><br><span style=""color:#000000"">お手元に合う着物がない場合は、usedのきものを差し上げます。（着物代は、無料）</span></p>",5月22日,10時～12時30分,"定員",5名（満席になりました）,1500円,"workshop",鯖江市本町2-1-20,0778-51-0236,https://sabae-mamama.com/prolist/%e5%80%89%e6%a9%8b%e3%80%80%e7%a5%a5%e5%ad%90/,https://sabapura.com/event/maruyo,2021-05-14T04:59:18.083Z,2021-03-30T07:31:21.971Z,2021-05-14T04:59:18.083Z
車の道場（上野別堂）,車の道場（上野別堂）,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/05d355d03bbf4e01a028b80cd53ce7b2/top_kumanodojo.jpg,,,,,,,,,"history",,,https://www.city.sabae.fukui.jp/kanko/sightseeing/kurumanodojyo.html,https://sabapura.com/event/kurumanodojyo,2021-05-13T08:08:38.129Z,2021-05-06T06:42:34.266Z,2021-05-06T06:42:34.266Z
緑と暮らそう,富士書店,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/594bdb24fa0d4e7aafa963a590238311/top_syokubutu.jpg,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/57741a13fcf847c281f7e24b8dd43c0e/hed_fujisyoten2.jpg,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/ecfe198ff8bf48cba5bdaee2f4c01d23/icon_fujisyoten.jpg,"<p><span style=""color:#000000"">相性がいい 、本と植物。</span><br><span style=""color:#000000"">富士書店では、植物の本コーナーをご用意しております。</span><br><span style=""color:#000000"">珍奇・男前植物から、雑草、お花の本まで…</span><br><br><span style=""color:#000000"">5月13日（木）の富士商店には、</span><br><span style=""color:#000000"">越前市の植物屋さん、grow labが出店。</span><br><span style=""color:#000000"">暮らしの中にグリーンを取り入れてみませんか？</span><br><br><span style=""color:#000000"">5月の富士商店は</span><br><span style=""color:#000000"">13日（木）20日（木）21（金）</span><br><span style=""color:#000000"">27日（木）28（金）です。</span><br><span style=""color:#000000"">今回も色々な「商店」が富士書店にやってきます。お楽しみに…</span></p>",5月13日、20日、21日、27日、28日,12時～18時（富士商店の日は17時）,"定員",出入り自由,,"shopping",鯖江市本町1-1-20,090-3887-1388,https://fujisyoten.storeinfo.jp/,https://sabapura.com/event/fujisyoten,2021-05-11T09:48:34.815Z,2021-03-31T07:00:46.178Z,2021-05-11T09:48:34.815Z
本山 誠照寺,本山 誠照寺,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/f4823ea021a44bb7ad217a861aa3ff63/top_jyosyoji.jpg,,,,,,,,,"history",,,https://www.city.sabae.fukui.jp/kanko/sightseeing/jyousyouji.html,https://sabapura.com/event/jyosyoji,2021-05-01T12:26:56.690Z,2021-03-30T06:45:31.903Z,2021-04-09T08:29:39.860Z
レトロなお弁当箱,サイトカナモノ,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/360e5a2054e5453dab1bb96be82354cf/top_bentobako.jpg,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/166f720aa6aa4a7082b32f88fed50502/hed_saitokanamono1.jpg,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/0bf47b26176a42f088cec5e7cea15555/icon_saitokanamono.jpg,<p>アルミでできた昔ながらのお弁当箱。<br>レトロ感がとてもかわいくて人気です。<br></p>,毎日（定休日：日曜）,7時30分～18時30分,"定員",,店頭にて,"shopping",鯖江市本町3丁目1-2,0778-51-0051,https://saito-kanamono.com/,https://sabapura.com/event/saito-kanamono,2021-05-12T08:53:09.791Z,2021-03-30T07:38:43.607Z,2021-05-01T09:01:40.138Z
