title,name_shop,image,image_header,image_icon,description,date,time,limited,capacity,cost,tag,address,contact,url_shop,url,updatedAt,createdAt,revisedAt,geo3x3
さばぷら限定:特製うなぎまぶし丼,御殿當田屋,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/759eb9b3d8064a6a87ea3c097e2d5f50/unagi.jpg,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/8006cd3dc7134673a12050ef38449df0/hed_toude1.jpg,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/c6bfadf26ce14a34a229e7e1b3cef93d/icon_toudeya.jpg,"<p><span style=""color:#000000"">夏の風物詩、うなぎ。</span><br><span style=""color:#000000"">當田屋自家製の継ぎ足しタレでふっくら焼いた鰻を贅沢にまぶし丼でお召し上がりください。</span><br><br>＊2日間ランチ限定＊<br>6月18日(金)→限定10食<br>6月19日(土)→限定20食<br></p>",6月18日・19日,11時半〜14時,個数,18日(金)→限定10食　19日(土)→限定20食,"2,000円（税込）",shopping,鯖江市本町1丁目4-10,0778-51-2877,http://toudeya.jp/index.html,https://sabapura.com/event/toudeya,2021-06-09T09:53:40.345Z,2021-06-08T05:23:41.746Z,2021-06-09T09:53:40.345Z,E91387322931997
マスクチャーム作りワークショップ,Hana道場,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/9edced7343fa45b6b6c5224c0e3ea995/top_masktyamu.jpg,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/e8bb0e932ed445fe9d0313ab33a0e0f5/hed_hana1.jpg,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/4ec34364261b45b7ba67974bc670071b/icon_hana.jpg,<p>耳元でゆらゆら揺れるマスクチャーム。<br>まるでイヤリングをしているかのような、可愛らしいマスクチャームを作ってみませんか？<br>材料の中から作りたいアクセサリーを選んでいただき、好きなデザインのマスクチャームを作ります。<br>耳元で揺れるアクセサリーが、普段のマスク生活を彩ってくれます。<br></p>,6月13日,14:00~15:30,定員,8名,2000円（マスク代、材料費込み） 2つ目以降は追加料金1000円でできます。,workshop,鯖江市旭町1−6−6,080-3048-0087,https://hanadojo.com,https://sabapura.com/event/hanadojo-3,2021-05-29T08:39:48.380Z,2021-03-26T06:40:54.206Z,2021-05-29T08:39:48.380Z,E91387322933611
消しゴムハンコワークショップ,Gallery LOOK,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/8a9e0a653c1040989d34486197fb4226/top_keshigomuhanko.jpg,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/56628d2c27af4cab91329e7029f690fb/hed_look1.jpg,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/86b17d509c4b46dea9478f7aa1d2d528/icon_look.jpg,"<p><span style=""color:#000000"">オリジナルの消しゴムハンコを作りませんか？</span><br><br><span style=""color:#000000"">対象・・・小学5年生以上</span><br><span style=""color:#000000"">参加費・・800年（お茶、お菓子付）</span><br><br>ご参加お待ちしております♪</p>",6月12日,14時～16時,定員,5人,800円（お茶・お菓子付き）,workshop,鯖江市本町1丁目2-15（不定期OPEN）,090-8966-9855,,https://sabapura.com/event/gallery-look,2021-06-03T09:42:12.508Z,2021-04-01T03:12:32.628Z,2021-06-03T08:37:52.126Z,E91387322933882
選べるデザート 杏仁orプリンフェア,料亭 中松,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/15684f6bd1ca4123965d470fac21b9b1/top_purin.jpg,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/f2584814956648a3b6695b830bbb4358/hed_nakamatsu1.jpg,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/a6245606577244ed95c7cc12feb84955/icon_nakamatsu.jpg,"<p><span style=""color:#000000"">杏仁 or プリン</span><br><span style=""color:#000000"">昼、夜問わず、お食事のデザートをお選びいただけます。</span><br><br><span style=""color:#000000"">※お食事は完全予約制</span></p>",6月14日〜20日,ランチ11時半〜14時半／ディナー17時半〜21時ラストオーダー,定員,,店頭にて,shopping,鯖江市旭町1-5-3,0778-51-0403,https://www.nakamatu.com,https://sabapura.com/event/nakamatu,2021-06-07T09:17:53.979Z,2021-04-06T05:31:19.797Z,2021-06-04T04:33:27.856Z,E91387323711269
発酵ドリンクスタンド,久保田酒店,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/75e5abe281d24b99b4de1469a8084fc6/top_ichigokouji.jpg,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/0a7e9406c41d47ad951e43c8d8e1dbae/hed_kubotasake1.jpg,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/731cbe97eb894a88807bc75334ad6a09/icon_kubota.jpg,"<p><span style=""color:#000000"">発酵をテーマにお酒屋さんがつくる、ノンアルコールのドリンクスタンドです。</span><br><br><span style=""color:#000000"">●糀ドリンクスムージー（ノンシュガー）</span><br><span style=""color:#000000"">●無農薬しまなみレモンの糀レモネード（hot&#x2F;cold）</span><br><br>&gt;&gt;新メニュー<br><span style=""color:#000000"">●糀スムージー（いちご）</span><br><span style=""color:#000000"">かき混ぜながら、味変をお楽しみください☆</span><br><br><span style=""color:#000000"">優しい甘さの飲み物でほっこり一息、まち歩き中に気軽にお立ち寄りください。</span></p>",毎日（日曜休）,10時～17時,,,店頭にて,shopping,鯖江市旭町1丁目1-4,0778-51-0252,https://www.kubotasaketen.jp,https://sabapura.com/event/kubotasaketen,2021-05-29T08:45:46.258Z,2021-04-08T09:49:57.196Z,2021-05-29T08:45:46.258Z,E91387323478188
メガネの材料を使ったワークショップ,鯖江駅眼鏡,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/088686f312374fec99ce4d8c5f6b0ee2/top_sumahostand.jpg,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/6bc9f03a5b344747a4fa7d5f47bf9c23/hed_sabaeekimegane1.jpg,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/ecb43cf9cb3344a0b3a0f311c5291444/icon_sabaeekimegane.jpg,"<p><span style=""color:#000000"">メガネの材料の１つ「アセテート」生地を使った、ワークショップを随時開催。</span><br><span style=""color:#000000"">お好みのカラーを組み合わせて作る、自分だけのオリジナルスマホスタンド作りが人気です。</span><br><br><span style=""color:#000000"">鯖江駅眼鏡限定メガネも販売中です！</span></p>",毎日,10:00～18:30,,,600円,workshop,鯖江市日の出町1-2,0778-62-7507,,https://sabapura.com/event/sabaeekimegane,2021-06-07T09:17:23.172Z,2021-05-13T07:26:01.962Z,2021-05-29T08:43:48.231Z,E91387323476746
おむすびランチ,立ち呑みゴールデン,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/bbd90d0f202c445396790aa9b96377d0/top_onigirilunch.jpg,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/56424ff6b65b40c0bcd63f83a3e6ec1f/hed_golden2.jpg,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/d3a76e94128a4240ac2101bc6ed3c2e4/icon_golden.jpg,"<p><span style=""color:#000000"">大きめのおむすび1つと味噌汁・漬物・一品のセットで550円〜。自家焙煎コーヒーもランチセットで無料です。</span><br><br><span style=""color:#000000"">おむすびランチのみですが、色んな具材を楽しんでほしいです。(おにぎり)5月は14種をラインナップ、その時のオススメも有り。</span><br><span style=""color:#000000"">おむすびのテイクアウト可能です</span><br><br><span style=""color:#000000"">地元鯖江産のコシヒカリ、沖縄県産の粟国の塩を使用しています。</span></p>",毎日（日曜日休み）,ランチ12時から14時・夜営業16時〜22時30分,,,,shopping,鯖江市本町2丁目1-8,080-9781-5610,,https://sabapura.com/event/golden,2021-06-03T09:41:24.999Z,2021-05-13T07:23:24.689Z,2021-05-29T08:56:29.766Z,E91387322935661
もみほぐし体験キャンペーン,アジアンリラックス ワイテァ,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/b9c800f9ef5d48d4a8860c01d14fc545/%E3%83%AF%E3%82%A4%E3%83%86%E3%82%A3%E3%82%A2.jpg,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/f6c382e2aedf4269b94a2742a6d56d95/hed_waitea1.jpg,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/eff39d99245f4c9b9e1f6823b0738269/icon_waitea.jpg,"<p><span style=""color:#000000"">6月末まで、もみほぐし体験キャンペーン中です。</span><br><br><span style=""color:#000000"">60分5,500→3,850円</span><br><span style=""color:#000000"">90分8,250→5,500円</span><br><span style=""color:#000000"">120分10,450→7,500円</span><br><br><span style=""color:#000000"">リラックス空間で、体全体をリラックスさせてみませんか？</span><br><span style=""color:#000000"">＊もみほぐし体験は、10時～18時となります。</span><br></p>",毎日,10時～22時 （最終受付 21時）,,,,shopping,鯖江市日の出町1-10,0778-67-2098,https://asian-relax.fukui.jp/,https://sabapura.com/event/asian-relax-fukui,2021-06-07T09:17:15.627Z,2021-04-13T05:53:58.276Z,2021-06-07T08:46:28.871Z,E91387323473757
父の日イベント 『植物なんでも相談会』,フラワーショップhanahiro,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/9e9edac3fad44840b6ddabec7be52a75/top_titinohi.jpg,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/f2f461b82a2649f780f89c3e352264db/hed_manahiro1.jpg,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/dceded3f38be43c3a00cc45be098a74d/icon_hanahiro.jpg,"<p><span style=""color:#050505"">植物のプロが花ひろ本店にやってきます！</span><br><span style=""color:#050505"">育て方の分からない観葉やガーデニング花？</span><br><span style=""color:#050505"">どんなのが自宅に似合う？</span><br><span style=""color:#050505"">など無料相談会を開催。</span><br><span style=""color:#050505"">お家サイズにピッタリのオシャレな観葉などを中心にインテリアプランツ豊富に入荷。</span><br><br><span style=""color:#050505"">**ワークショップは2つ**</span><br><span style=""color:#050505"">○多肉植物モリモリ植え</span><br><span style=""color:#050505"">予約制20名　¥1500</span><br><br><span style=""color:#050505"">○ワンコインフラワーアレンジ体験</span><br><span style=""color:#050505"">予約可、当日受付有　¥500</span><br><br><span style=""color:#050505"">花ひろ公式LINEお友達登録で、ワークショップ100円OFFクーポン配布中。</span><br>ワークショップお申し込みは、お電話にてお願いいたします。<br><br><span style=""color:#050505"">花のある生活は心リフレッシュ、癒しの場所になりおすすめです。</span><br><span style=""color:#050505"">ぜひ皆さまのご来店お待ちしてます！</span><br></p>",6月20日,11時〜16時,,,店頭にて,workshop,鯖江市旭町1-6-12,0778-52-4187,https://www.hanahiro1953.com/,https://sabapura.com/event/hanahiro,2021-06-02T08:49:05.968Z,2021-04-08T08:06:26.564Z,2021-06-02T08:49:05.968Z,E9138732293396
舟津神社,舟津神社,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/500c00dd67c64af4ae2c5968c07b372d/top_funatsujinjya.jpg,,,,,,,,,history,,,https://www.city.sabae.fukui.jp/kanko/sightseeing/funazu.html,https://sabapura.com/event/funazujinjya,2021-05-26T16:58:01.895Z,2021-03-30T07:03:45.625Z,2021-05-26T16:58:01.895Z,E9138732344159
